"","parent","cluster","depth","cellID"
"1",6,2,10,1
"2",6,2,12,2
"3",6,2,10,3
"4",6,2,12,4
"5",6,2,11,5
"6",6,2,9,6
"7",6,2,10,7
"8",6,2,9,8
"9",6,2,12,9
"10",6,2,12,10
"11",6,2,12,11
"12",6,2,12,12
"13",6,2,12,13
"14",6,2,11,14
"15",6,2,12,15
"16",6,2,11,16
"17",6,2,12,17
"18",6,2,12,18
"19",6,2,12,19
"20",6,2,12,20
"21",6,2,11,21
"22",6,2,12,22
"23",6,2,12,23
"24",6,2,11,24
"25",6,2,12,25
"26",6,2,12,26
"27",6,2,12,27
"28",6,2,12,28
"29",6,2,12,29
"30",6,2,12,30
"31",6,2,12,31
"32",6,2,12,32
"33",6,2,9,33
"34",6,2,11,34
"35",6,2,9,35
"36",6,2,9,36
"37",6,2,10,37
"38",6,2,9,38
"39",6,2,11,39
"40",6,2,9,40
"41",6,2,11,41
"42",6,2,11,42
"43",6,2,10,43
"44",6,2,10,44
"45",6,2,12,45
"46",6,2,12,46
"47",6,2,10,47
"48",6,2,12,48
"49",6,2,12,49
"50",6,2,11,50
"51",6,2,12,51
"52",6,2,12,52
"53",6,2,11,53
"54",6,2,9,54
"55",6,2,12,55
"56",6,2,11,56
"57",6,2,9,57
"58",6,2,11,58
"59",6,2,9,59
"60",6,2,8,60
"61",6,2,12,61
"62",6,2,10,62
"63",6,2,10,63
"64",6,2,10,64
"65",6,2,10,65
"66",6,2,10,66
"67",6,2,9,67
"68",6,2,11,68
"69",6,2,12,69
"70",6,2,10,70
"71",6,2,11,71
"72",6,2,12,72
"73",6,2,11,73
"74",6,2,9,74
"75",6,2,11,75
"76",6,2,9,76
"77",6,2,10,77
"78",6,2,10,78
"79",6,2,10,79
"80",6,2,12,80
"81",6,2,12,81
"82",6,2,12,82
"83",6,2,12,83
"84",6,2,12,84
"85",6,2,12,85
"86",6,2,12,86
"87",6,2,12,87
"88",6,2,12,88
"89",6,2,12,89
"90",6,2,12,90
"91",6,2,10,91
"92",6,2,12,92
"93",6,2,12,93
"94",6,2,12,94
"95",6,2,12,95
"96",6,2,11,96
"97",6,2,12,97
"98",6,2,11,98
"99",6,2,12,99
"100",6,2,12,100
"101",6,2,12,101
"102",6,2,12,102
"103",6,2,12,103
"104",6,2,11,104
"105",6,2,12,105
"106",6,2,12,106
"107",6,2,12,107
"108",6,2,12,108
"109",6,2,12,109
"110",6,2,12,110
"111",6,2,12,111
"112",6,2,12,112
"113",6,2,9,113
"114",6,2,9,114
"115",6,2,9,115
"116",6,2,9,116
"117",6,2,12,117
"118",6,2,12,118
"119",6,2,11,119
"120",6,2,11,120
"121",6,2,12,121
"122",6,2,12,122
"123",6,2,12,123
"124",6,2,12,124
"125",6,2,12,125
"126",6,2,11,126
"127",6,2,11,127
"128",6,2,12,128
"129",6,2,8,129
"130",6,2,8,130
"131",5,6,7,131
"132",6,2,8,132
"133",6,2,9,133
"134",6,2,11,134
"135",5,6,7,135
"136",5,6,7,136
"137",6,2,9,137
"138",5,6,7,138
"139",5,6,7,139
"140",5,6,7,140
"141",6,3,8,141
"142",5,6,6,142
"143",6,3,8,143
"144",6,3,10,144
"145",6,2,12,145
"146",6,2,11,146
"147",6,2,11,147
"148",6,2,10,148
"149",6,2,10,149
"150",6,2,10,150
"151",6,2,10,151
"152",6,2,12,152
"153",6,2,10,153
"154",6,2,12,154
"155",6,2,12,155
"156",6,2,10,156
"157",6,2,8,157
"158",6,2,8,158
"159",6,2,9,159
"160",6,2,10,160
"161",6,3,11,161
"162",6,3,9,162
"163",6,3,12,163
"164",6,3,11,164
"165",6,3,9,165
"166",6,3,9,166
"167",6,3,11,167
"168",6,3,12,168
"169",6,3,11,169
"170",6,3,10,170
"171",6,3,10,171
"172",6,3,10,172
"173",6,3,12,173
"174",6,3,12,174
"175",6,3,11,175
"176",6,3,10,176
"177",6,3,8,177
"178",6,3,10,178
"179",6,3,8,179
"180",6,3,9,180
"181",6,3,11,181
"182",6,3,9,182
"183",6,3,8,183
"184",6,3,10,184
"185",6,3,12,185
"186",6,3,10,186
"187",6,3,11,187
"188",6,3,9,188
"189",6,3,8,189
"190",6,3,9,190
"191",6,3,11,191
"192",6,3,9,192
"193",6,2,12,193
"194",6,2,11,194
"195",6,2,12,195
"196",6,2,12,196
"197",6,2,10,197
"198",6,2,10,198
"199",6,2,10,199
"200",6,2,10,200
"201",6,2,9,201
"202",6,2,9,202
"203",6,2,9,203
"204",6,2,9,204
"205",6,2,9,205
"206",6,2,10,206
"207",6,2,9,207
"208",6,2,10,208
"209",6,2,9,209
"210",6,2,9,210
"211",6,2,11,211
"212",6,2,9,212
"213",6,2,12,213
"214",6,2,10,214
"215",6,2,8,215
"216",6,2,9,216
"217",6,2,12,217
"218",6,2,12,218
"219",6,2,12,219
"220",6,2,12,220
"221",6,2,10,221
"222",6,2,10,222
"223",6,2,10,223
"224",6,2,10,224
"225",6,2,12,225
"226",6,2,12,226
"227",6,2,12,227
"228",6,2,12,228
"229",6,2,12,229
"230",6,2,12,230
"231",6,2,12,231
"232",6,2,12,232
"233",6,2,12,233
"234",6,2,12,234
"235",6,2,12,235
"236",6,2,11,236
"237",6,2,11,237
"238",6,2,10,238
"239",6,2,11,239
"240",6,2,12,240
"241",6,2,12,241
"242",6,2,12,242
"243",6,2,12,243
"244",6,2,12,244
"245",6,2,12,245
"246",6,2,12,246
"247",6,2,12,247
"248",6,2,10,248
"249",6,2,10,249
"250",6,2,10,250
"251",6,2,10,251
"252",6,2,12,252
"253",6,2,8,253
"254",6,2,9,254
"255",6,2,10,255
"256",6,2,8,256
"257",6,3,11,257
"258",6,3,12,258
"259",6,3,10,259
"260",6,3,12,260
"261",6,3,8,261
"262",6,3,10,262
"263",6,3,10,263
"264",6,3,8,264
"265",6,3,12,265
"266",6,3,12,266
"267",6,3,12,267
"268",6,3,12,268
"269",6,3,12,269
"270",6,3,10,270
"271",6,3,10,271
"272",6,3,11,272
"273",6,3,12,273
"274",6,3,11,274
"275",6,3,12,275
"276",6,3,12,276
"277",6,3,10,277
"278",6,3,10,278
"279",6,3,12,279
"280",6,3,11,280
